,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,complement_si_sdr_speaker0,complement_si_sdr_speaker1,si_sdr_speaker0,si_sdr_speaker1
3325,3325,0.45,6.6,8.003177642822266,6.174186706542969,-1.828991413116455,2.1926612854003906,-5.850644111633301,9.174636840820312,3.3403377532958984,9.403355598449707,2.9450178146362305
3326,3326,0.27,9.05,0.2640436887741089,-0.7558860778808594,-1.0199297666549683,-1.9984716176986694,-0.0413878969848156,-0.4898371994495392,0.030681176111102104,-0.9365041255950928,-0.5752680897712708
3327,3327,0.31,7.26,8.788498878479004,7.406362056732178,-1.3821368217468262,-1.2685531377792358,-1.495720624923706,6.919816970825195,8.472906112670898,8.507281303405762,6.305442810058594
3328,3328,0.28,1.33,0.42268967628479004,-3.5513551235198975,-3.9740447998046875,-4.76930570602417,-3.178783655166626,-1.9939924478530884,0.13503102958202362,-5.911250591278076,-1.1914597749710083
3329,3329,0.25,4.66,4.442082405090332,2.183957576751709,-2.258124828338623,-2.305197238922119,-2.211052417755127,3.033362627029419,3.047449827194214,2.605224609375,1.762690782546997
3330,3330,0.56,1.83,-0.1915302276611328,-3.7592720985412598,-3.567741870880127,-3.4663939476013184,-3.6690897941589355,-1.2445814609527588,-1.9642260074615479,-3.127211332321167,-4.391333103179932
3331,3331,0.59,5.19,9.488677024841309,6.445926666259766,-3.042750358581543,2.745730400085449,-8.831231117248535,11.370187759399414,2.413465738296509,11.051298141479492,1.84055495262146
3332,3332,0.57,10.56,4.772284030914307,3.9301741123199463,-0.8421099185943604,-3.8881187438964844,2.2038989067077637,1.9545073509216309,6.212392330169678,1.895668625831604,5.964679718017578
3333,3333,0.55,0.06,3.9485363960266113,-1.4709850549697876,-5.419521331787109,-2.166083812713623,-8.672958374023438,4.485385894775391,-2.697633743286133,2.7960636615753174,-5.738033771514893
3334,3334,0.28,3.14,6.491358280181885,3.3927865028381348,-3.09857177734375,-0.9186832904815674,-5.278460502624512,5.836325645446777,2.4049243927001953,5.388942241668701,1.3966305255889893
3335,3335,0.41,2.51,4.270064830780029,0.9409685730934143,-3.3290960788726807,-4.728753566741943,-1.9294387102127075,0.26323384046554565,3.4671578407287598,-0.4415658712387085,2.323503017425537
3336,3336,0.25,4.5,7.6076555252075195,5.186230182647705,-2.4214253425598145,-1.109217882156372,-3.733633041381836,5.689756870269775,3.9007413387298584,6.343473434448242,4.028986930847168
3337,3337,0.56,0.08,6.76949405670166,2.077982187271118,-4.691512107849121,-4.441479682922363,-4.941544055938721,4.276288032531738,1.8854222297668457,0.8691900372505188,3.2867743968963623
3338,3338,0.31,13.18,7.9792375564575195,7.336322784423828,-0.6429150104522705,-4.0480637550354,2.7622337341308594,4.71404504776001,9.107843399047852,5.521287441253662,9.151357650756836
3339,3339,0.33,6.13,7.42156982421875,4.8426337242126465,-2.5789361000061035,2.936537504196167,-8.094409942626953,10.089001655578613,0.157468780875206,8.425973892211914,1.259293794631958
3340,3340,0.42,9.72,9.273120880126953,8.083751678466797,-1.1893696784973145,3.707986354827881,-6.08672571182251,11.71124267578125,4.692812442779541,10.65753173828125,5.50997257232666
3341,3341,0.28,4.62,7.433768272399902,4.534668922424316,-2.899099349975586,1.5927923917770386,-7.3909912109375,8.318840980529785,1.6294842958450317,8.110130310058594,0.9592074751853943
